second;engine speed (rpm);vehicle speed (km/h);engine temperature (C);Fuel Amount (L);CO2 Emission;CoolantTemp;Torque;KmPerLiter
186;950;76;142,5;56,78193455;59;124;117;11.95
187;687,5;55;103,125;56,76807553;75;132;191;7.08
188;687,5;55;103,125;56,7542165;89;95;173;11.39
189;562,5;45;84,375;56,7428773;52;90;145;6.54
190;562,5;45;84,375;56,7315381;88;96;189;11.31
191;562,5;45;84,375;56,7201989;90;93;144;11.98
192;662,5;53;99,375;56,70684384;61;104;186;7.73
193;662,5;53;99,375;56,69348878;72;121;169;8.62
194;662,5;53;99,375;56,68013372;85;142;126;12.03
195;287,5;23;43,125;56,67433813;83;143;102;12.62
196;400;32;60;56,66627469;76;133;182;9.81
197;525;42;78,75;56,65569144;51;139;181;8.75
198;275;22;41,25;56,65014783;81;92;199;9.91
199;162,5;13;24,375;56,64687206;60;104;122;8.86
200;62,5;5;9,375;56,64561215;88;128;105;7.81
201;187,5;15;28,125;56,64183241;52;117;120;6.07
202;62,5;5;9,375;56,6405725;83;126;189;7.96
203;187,5;15;28,125;56,63679277;69;125;126;7.3
204;937,5;75;140,625;56,6178941;57;108;156;7.22
205;1062,5;85;159,375;56,59647561;89;100;122;7.31
206;1125;90;168,75;56,5737972;62;121;102;6.63
207;1125;90;168,75;56,5511188;85;133;125;6.85
208;1125;90;168,75;56,5284404;67;102;170;11.33
209;1125;90;168,75;56,50576199;68;96;121;6.37
210;1125;90;168,75;56,48308359;86;91;140;6.78
211;1250;100;187,5;56,45788536;65;115;130;11.43
212;1250;100;187,5;56,43268714;73;93;146;7.75
213;1250;100;187,5;56,40748891;60;128;144;6.24
214;1250;100;187,5;56,38229069;55;106;190;8.13
215;1250;100;187,5;56,35709246;96;139;135;11.07
216;1250;100;187,5;56,33189423;51;92;117;8.77
217;600;48;90;56,31979909;63;122;109;10.51
218;600;48;90;56,30770394;94;114;193;6.81
219;600;48;90;56,29560879;91;98;113;8.13
220;437,5;35;65,625;56,28678941;72;110;167;9.0
221;275;22;41,25;56,2812458;66;147;168;10.96
222;837,5;67;125,625;56,26436299;83;96;112;11.99
223;837,5;67;125,625;56,24748018;66;91;162;8.08
224;1087,5;87;163,125;56,22555772;82;101;156;7.8
225;1087,5;87;163,125;56,20363526;83;112;122;8.24
226;1087,5;87;163,125;56,18171281;69;121;130;10.1
227;1087,5;87;163,125;56,15979035;96;126;158;12.71
228;1087,5;87;163,125;56,13786789;95;148;132;10.25
229;537,5;43;80,625;56,12703266;55;123;119;12.15
230;287,5;23;43,125;56,12123706;72;122;177;12.5
231;700;56;105;56,10712606;82;108;122;10.57
232;975;78;146,25;56,08747144;73;123;164;9.39
233;975;78;146,25;56,06781683;55;141;109;12.39
234;975;78;146,25;56,04816221;78;138;156;9.4
235;975;78;146,25;56,02850759;99;98;143;6.24
236;975;78;146,25;56,00885298;59;148;116;12.76
237;1225;98;183,75;55,98415872;63;134;123;7.53
238;1225;98;183,75;55,95946445;62;124;125;11.68
239;1225;98;183,75;55,93477019;55;122;135;11.89
240;1225;98;183,75;55,91007593;62;137;142;9.42
241;950;76;142,5;55,89092528;68;123;110;8.28
242;950;76;142,5;55,87177463;58;99;117;6.61
243;950;76;142,5;55,85262398;68;104;126;10.01
244;700;56;105;55,83851297;71;149;174;8.08
245;700;56;105;55,82440196;96;148;115;9.42
246;700;56;105;55,81029096;91;91;174;6.51
247;562,5;45;84,375;55,79895175;55;90;159;8.67
248;562,5;45;84,375;55,78761255;60;94;144;11.62
249;150;12;22,5;55,78458876;91;133;110;11.81
250;287,5;23;43,125;55,77879317;63;112;175;9.98
251;425;34;63,75;55,77022578;72;94;133;10.3
252;562,5;45;84,375;55,75888657;96;125;167;6.32
253;812,5;65;121,875;55,74250773;67;123;159;6.29
254;1000;80;150;55,72234915;92;127;128;6.03
255;1000;80;150;55,70219057;63;113;127;10.34
256;1000;80;150;55,68203198;81;107;139;12.73
257;1000;80;150;55,6618734;79;104;188;12.58
258;1000;80;150;55,64171482;78;96;112;9.93
259;1087,5;87;163,125;55,61979237;93;117;121;9.83
260;1087,5;87;163,125;55,59786991;79;95;101;11.04
261;1087,5;87;163,125;55,57594745;87;136;110;8.08
262;1087,5;87;163,125;55,554025;73;99;140;8.52
263;1150;92;172,5;55,53084263;61;110;138;12.7
264;1150;92;172,5;55,50766026;64;120;172;6.84
265;1162,5;93;174,375;55,48422591;51;139;152;12.54
266;1162,5;93;174,375;55,46079156;89;126;134;6.7
267;962,5;77;144,375;55,44138893;77;94;115;12.03
268;962,5;77;144,375;55,42198629;99;103;129;11.85
269;962,5;77;144,375;55,40258366;87;128;110;12.49
270;975;78;146,25;55,38292904;76;108;179;7.89
271;1087,5;87;163,125;55,36100659;93;131;172;8.17
272;1087,5;87;163,125;55,33908413;67;139;157;7.17
273;1087,5;87;163,125;55,31716167;61;144;131;11.27
274;1087,5;87;163,125;55,29523922;90;133;198;12.66
275;1087,5;87;163,125;55,27331676;98;149;101;8.47
276;1087,5;87;163,125;55,2513943;72;137;102;8.92
277;1087,5;87;163,125;55,22947185;61;97;199;12.45
278;975;78;146,25;55,20981723;52;110;109;10.74
279;975;78;146,25;55,19016261;96;124;132;7.92
280;975;78;146,25;55,170508;85;122;194;12.1
281;975;78;146,25;55,15085338;59;95;100;8.62
282;875;70;131,25;55,13321462;63;116;118;11.93
283;875;70;131,25;55,11557586;98;136;123;9.48
284;875;70;131,25;55,09793711;60;95;132;6.79
285;875;70;131,25;55,08029835;81;124;195;7.4
286;875;70;131,25;55,06265959;82;129;108;9.55
287;812,5;65;121,875;55,04628074;50;124;149;12.44
288;812,5;65;121,875;55,02990189;86;109;150;7.79
289;812,5;65;121,875;55,01352305;60;140;171;11.06
290;812,5;65;121,875;54,9971442;59;147;141;11.12
291;812,5;65;121,875;54,98076535;66;123;199;7.91
292;812,5;65;121,875;54,96438651;91;127;137;8.86
293;750;60;112,5;54,94926757;67;139;123;7.05
294;750;60;112,5;54,93414864;66;101;128;8.3
295;750;60;112,5;54,9190297;80;137;165;6.58
296;750;60;112,5;54,90391076;77;106;161;11.25
297;750;60;112,5;54,88879183;97;147;177;11.99
298;875;70;131,25;54,87115307;74;131;124;11.28
299;875;70;131,25;54,85351431;77;111;194;7.28
300;875;70;131,25;54,83587555;92;135;112;6.13
301;875;70;131,25;54,8182368;80;142;184;8.4
302;875;70;131,25;54,80059804;66;134;190;7.57
303;875;70;131,25;54,78295928;98;93;109;7.81
304;875;70;131,25;54,76532052;66;127;198;12.05
305;875;70;131,25;54,74768176;69;145;190;9.09
306;875;70;131,25;54,730043;85;121;116;8.66
307;875;70;131,25;54,71240425;96;92;161;10.18
308;812,5;65;121,875;54,6960254;61;99;187;9.75
309;812,5;65;121,875;54,67964655;67;112;166;10.52
310;812,5;65;121,875;54,66326771;72;100;131;7.02
311;812,5;65;121,875;54,64688886;51;101;162;12.69
312;562,5;45;84,375;54,63554966;65;94;195;6.31
313;562,5;45;84,375;54,62421046;71;141;106;9.75
314;562,5;45;84,375;54,61287125;86;95;180;10.51
315;562,5;45;84,375;54,60153205;88;96;109;11.69
316;562,5;45;84,375;54,59019285;71;122;172;9.93
317;187,5;15;28,125;54,58641312;92;108;156;7.08
318;187,5;15;28,125;54,58263338;84;122;168;6.5
319;562,5;45;84,375;54,57129418;99;92;186;9.17
320;687,5;55;103,125;54,55743516;96;100;146;6.95
321;687,5;55;103,125;54,54357613;73;105;104;7.8
322;687,5;55;103,125;54,52971711;61;137;133;8.41
323;812,5;65;121,875;54,51333826;53;124;162;9.07
324;812,5;65;121,875;54,49695941;56;104;124;6.8
325;812,5;65;121,875;54,48058057;89;102;157;10.71
326;812,5;65;121,875;54,46420172;92;131;125;12.5
327;812,5;65;121,875;54,44782287;98;138;122;8.95
328;812,5;65;121,875;54,43144403;82;145;100;8.68
329;812,5;65;121,875;54,41506518;76;136;101;7.74
330;950;76;142,5;54,39591453;73;93;141;10.41
331;950;76;142,5;54,37676388;58;104;133;11.58
332;950;76;142,5;54,35761322;61;97;176;11.68
333;950;76;142,5;54,33846257;97;105;124;12.52
334;962,5;77;144,375;54,31905994;96;128;196;8.2
335;962,5;77;144,375;54,2996573;83;135;138;11.71
336;962,5;77;144,375;54,28025467;90;93;161;7.15
337;962,5;77;144,375;54,26085204;64;104;121;11.25
338;962,5;77;144,375;54,2414494;51;130;142;7.9
339;1087,5;87;163,125;54,21952695;92;96;106;6.08
340;1087,5;87;163,125;54,19760449;68;148;168;9.23
341;1087,5;87;163,125;54,17568203;97;148;165;8.82
342;1087,5;87;163,125;54,15375958;94;111;100;11.41
343;712,5;57;106,875;54,13939659;91;102;116;11.1
344;712,5;57;106,875;54,1250336;60;90;164;11.38
345;712,5;57;106,875;54,11067061;80;139;136;10.65
346;712,5;57;106,875;54,09630762;84;92;182;10.74
347;712,5;57;106,875;54,08194463;70;127;114;8.8
348;812,5;65;121,875;54,06556578;90;92;125;12.78
349;812,5;65;121,875;54,04918694;93;143;157;8.36
350;812,5;65;121,875;54,03280809;72;147;108;9.54
351;975;78;146,25;54,01315347;90;112;116;10.79
352;975;78;146,25;53,99349886;60;123;157;8.63
353;975;78;146,25;53,97384424;68;103;197;8.06
354;975;78;146,25;53,95418963;72;99;119;9.83
355;975;78;146,25;53,93453501;51;107;136;10.0
356;975;78;146,25;53,91488039;91;98;182;6.87
357;975;78;146,25;53,89522578;79;140;185;10.08
358;937,5;75;140,625;53,87632711;76;149;135;7.33
359;937,5;75;140,625;53,85742844;59;141;159;12.63
360;937,5;75;140,625;53,83852977;59;126;199;12.96
361;937,5;75;140,625;53,8196311;92;120;134;7.77
362;937,5;75;140,625;53,80073243;93;123;150;12.6
363;812,5;65;121,875;53,78435358;75;120;147;8.53
364;812,5;65;121,875;53,76797473;55;141;176;11.3
365;812,5;65;121,875;53,75159589;77;116;199;12.24
366;812,5;65;121,875;53,73521704;92;112;139;11.56
367;700;56;105;53,72110603;90;99;150;6.11
368;700;56;105;53,70699503;50;138;162;10.22
369;700;56;105;53,69288402;53;94;134;10.87
370;700;56;105;53,67877301;58;146;165;8.96
371;700;56;105;53,66466201;62;117;163;8.54
372;700;56;105;53,650551;66;132;119;12.01
373;575;46;86,25;53,63895982;78;129;195;10.41
374;575;46;86,25;53,62736863;85;93;112;6.36
375;575;46;86,25;53,61577745;73;123;123;8.49
376;712,5;57;106,875;53,60141446;82;125;196;12.08
377;712,5;57;106,875;53,58705147;86;137;118;7.04
378;712,5;57;106,875;53,57268848;59;101;158;11.79
379;712,5;57;106,875;53,55832549;54;103;131;8.38
380;712,5;57;106,875;53,54396251;51;131;107;11.83
381;825;66;123,75;53,52733168;56;127;179;7.76
382;825;66;123,75;53,51070085;54;127;116;10.35
383;825;66;123,75;53,49407002;88;121;125;12.12
384;825;66;123,75;53,47743919;80;90;109;11.96
385;825;66;123,75;53,46080836;64;138;152;6.97
386;950;76;142,5;53,44165771;71;148;148;7.9
387;950;76;142,5;53,42250706;55;106;121;7.76
388;687,5;55;103,125;53,40864803;94;109;154;10.88
389;687,5;55;103,125;53,39478901;91;97;135;9.22
390;562,5;45;84,375;53,38344981;71;103;178;11.34
391;562,5;45;84,375;53,3721106;54;132;142;8.31
392;562,5;45;84,375;53,3607714;88;92;105;11.88
393;662,5;53;99,375;53,34741634;61;109;110;8.17
394;662,5;53;99,375;53,33406128;77;142;158;12.12
395;662,5;53;99,375;53,32070622;59;137;109;12.68
396;287,5;23;43,125;53,31491063;79;139;151;7.02
397;400;32;60;53,3068472;77;111;173;10.97
398;525;42;78,75;53,29626394;86;101;132;11.31
399;275;22;41,25;53,29072033;57;121;135;6.62
400;162,5;13;24,375;53,28744456;98;121;158;6.07
401;62,5;5;9,375;53,28618465;60;111;131;12.58
402;187,5;15;28,125;53,28240492;93;138;129;11.29
403;62,5;5;9,375;53,28114501;66;103;160;12.45
404;187,5;15;28,125;53,27736527;70;107;174;10.59
405;937,5;75;140,625;53,2584666;79;92;121;10.06
406;1062,5;85;159,375;53,23704811;97;100;151;7.59
407;1125;90;168,75;53,21436971;61;107;132;7.34
408;1125;90;168,75;53,1916913;55;107;139;12.47
409;1125;90;168,75;53,1690129;67;127;152;9.85
410;1125;90;168,75;53,1463345;89;119;184;12.72
411;1125;90;168,75;53,12365609;51;149;146;9.0
412;1250;100;187,5;53,09845787;90;129;140;9.09
413;1250;100;187,5;53,07325964;78;106;177;10.15
414;1250;100;187,5;53,04806142;63;90;112;12.35
415;1250;100;187,5;53,02286319;60;98;163;10.93
416;1250;100;187,5;52,99766496;85;122;182;6.12
417;1250;100;187,5;52,97246674;86;122;144;11.91
418;600;48;90;52,96037159;97;109;123;12.53
419;600;48;90;52,94827644;82;104;168;11.51
420;600;48;90;52,93618129;70;129;170;12.29
421;437,5;35;65,625;52,92736191;58;122;130;7.83
422;275;22;41,25;52,9218183;98;133;118;9.23
423;837,5;67;125,625;52,90493549;90;106;145;10.94
424;837,5;67;125,625;52,88805268;79;147;183;6.32
425;1087,5;87;163,125;52,86613022;73;132;136;8.34
426;1087,5;87;163,125;52,84420777;93;114;154;8.83
427;1087,5;87;163,125;52,82228531;98;146;106;6.77
428;1087,5;87;163,125;52,80036285;68;122;194;8.53
429;1087,5;87;163,125;52,7784404;83;123;137;9.29
430;537,5;43;80,625;52,76760516;54;127;184;8.53
431;287,5;23;43,125;52,76180957;57;122;152;6.28
432;700;56;105;52,74769856;93;118;164;7.63
433;975;78;146,25;52,72804395;67;146;135;11.84
434;975;78;146,25;52,70838933;81;117;120;10.22
435;975;78;146,25;52,68873471;60;122;117;6.05
436;975;78;146,25;52,6690801;87;97;126;9.02
437;975;78;146,25;52,64942548;65;107;183;11.88
438;1225;98;183,75;52,62473122;70;142;141;12.74
439;1225;98;183,75;52,60003696;57;123;121;7.54
440;1225;98;183,75;52,5753427;63;129;190;7.31
441;1225;98;183,75;52,55064843;74;136;194;9.03
442;950;76;142,5;52,53149778;50;113;123;12.47
443;950;76;142,5;52,51234713;91;97;155;8.75
444;950;76;142,5;52,49319648;90;95;187;11.68
445;700;56;105;52,47908547;90;124;165;8.57
446;700;56;105;52,46497447;69;112;184;8.89
447;700;56;105;52,45086346;91;148;111;9.02
448;562,5;45;84,375;52,43952426;84;106;194;6.11
449;562,5;45;84,375;52,42818506;50;126;193;11.1
450;150;12;22,5;52,42516127;80;106;180;8.89
451;287,5;23;43,125;52,41936568;76;133;149;7.74
452;425;34;63,75;52,41079828;67;142;136;10.5
453;562,5;45;84,375;52,39945908;58;130;187;9.14
454;812,5;65;121,875;52,38308023;70;108;179;7.19
455;1000;80;150;52,36292165;74;117;142;10.26
456;1000;80;150;52,34276307;82;124;167;12.73
457;1000;80;150;52,32260449;81;149;188;11.72
458;1000;80;150;52,30244591;96;102;177;10.16
459;1000;80;150;52,28228733;88;107;195;11.67
460;1087,5;87;163,125;52,26036487;66;120;173;9.88
461;1087,5;87;163,125;52,23844241;76;127;132;8.83
462;1087,5;87;163,125;52,21651996;88;98;125;9.6
463;1087,5;87;163,125;52,1945975;93;121;196;6.08
464;1150;92;172,5;52,17141513;94;102;120;11.37
465;1150;92;172,5;52,14823276;80;97;130;6.15
466;1162,5;93;174,375;52,12479841;72;125;109;9.69
467;1162,5;93;174,375;52,10136406;97;130;183;6.8
468;962,5;77;144,375;52,08196143;88;133;127;7.71
469;962,5;77;144,375;52,0625588;71;112;192;11.03
470;962,5;77;144,375;52,04315616;83;98;138;10.31
471;975;78;146,25;52,02350155;91;130;183;9.58
472;1087,5;87;163,125;52,00157909;53;134;188;9.5
473;1087,5;87;163,125;51,97965663;92;141;193;8.68
474;1087,5;87;163,125;51,95773418;71;133;148;7.52
475;1087,5;87;163,125;51,93581172;52;148;136;8.13
476;1087,5;87;163,125;51,91388926;86;101;119;7.52
477;1087,5;87;163,125;51,89196681;84;95;160;9.63
478;1087,5;87;163,125;51,87004435;54;137;192;8.72
479;975;78;146,25;51,85038973;72;94;129;6.56
480;975;78;146,25;51,83073512;77;107;155;12.58
481;975;78;146,25;51,8110805;84;107;195;10.99
482;975;78;146,25;51,79142588;56;134;161;12.03
483;875;70;131,25;51,77378713;82;141;165;8.32
484;875;70;131,25;51,75614837;88;120;144;9.14
485;875;70;131,25;51,73850961;52;93;154;7.86
486;875;70;131,25;51,72087085;93;142;133;10.35
487;875;70;131,25;51,70323209;97;105;138;9.95
488;812,5;65;121,875;51,68685325;95;139;172;11.43
489;812,5;65;121,875;51,6704744;75;135;170;8.72
490;812,5;65;121,875;51,65409555;72;107;104;11.39
491;812,5;65;121,875;51,6377167;93;115;103;12.77
492;812,5;65;121,875;51,62133786;60;115;151;7.0
493;812,5;65;121,875;51,60495901;89;115;194;7.55
494;750;60;112,5;51,58984008;74;118;113;10.07
495;750;60;112,5;51,57472114;74;135;181;12.51
496;750;60;112,5;51,5596022;69;125;106;11.4
497;750;60;112,5;51,54448327;87;102;169;6.9
498;750;60;112,5;51,52936433;51;131;138;7.49
499;875;70;131,25;51,51172557;82;111;138;7.09
500;875;70;131,25;51,49408682;78;141;117;8.99
501;875;70;131,25;51,47644806;80;139;169;6.09
502;875;70;131,25;51,4588093;72;109;155;10.41
503;875;70;131,25;51,44117054;63;121;118;10.0
504;875;70;131,25;51,42353178;62;103;169;11.22
505;875;70;131,25;51,40589303;53;130;108;11.0
506;875;70;131,25;51,38825427;83;128;134;11.83
507;875;70;131,25;51,37061551;66;108;155;11.19
508;875;70;131,25;51,35297675;86;99;161;11.59
509;812,5;65;121,875;51,3365979;71;141;161;9.88
510;812,5;65;121,875;51,32021906;97;117;100;7.12
511;812,5;65;121,875;51,30384021;59;137;197;7.22
512;812,5;65;121,875;51,28746136;89;144;124;11.15
